140493,4/4/14,,1,,,15,,,,,,1,23,,,,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,,1,1,,,,1,1,1,1,1,,2,,,,,,,,,,,,,,,,1,,,,,3,2,1,,1,,,1,0
140494,4/5/14,1,,,,10,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,3,,,,,,,,,,,,,,,1,,,,,1,1,1,0,,,1,,0,0
140495,4/7/14,1,,,,10,,,,,,1,25,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
140496,4/7/14,1,,,,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,0,,,1,,0,0
140497,4/7/14,,1,,,10,1,,,,,,16,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,0
140498,4/7/14,,1,,,10,1,,,,,,11,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,,,,,,,,,,,,,,,1,,,,,,3,2,1,,1,,,1,0
140499,4/8/14,1,,,,10,1,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,0,,,1,,0,0
140500,4/8/14,,1,,,15,,,,,1,,20,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,4,3,1,,1,,,1,0
140501,4/8/14,,1,,,30,1,,,,,,12,1,1,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1,4,2,2,,1,,,1,1
140502,4/8/14,,1,,,10,1,,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,4,2,2,,1,,,1,1
140503,4/8/14,,1,,,10,,1,,,,,17,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,5,3,2,,1,,,1,1
140504,4/8/14,,,1,,10,1,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,2,,,,,,,,,,,1,,,,,,,,,1,3,2,1,,1,,,1,1
