130103,1/18/13,1,,,,10,,,,,1,,19,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,0,,,1,,0,0
130102,1/18/13,1,,,,10,,,,1,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,0,,,1,,0,0
130101,1/16/13,1,,,,10,1,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,4,4,0,,,1,,1,0
130091,1/16/13,,1,,,10,1,,,,,,16,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,3,3,0,,,1,,1,0
130100,1/17/13,,,1,,15,,,,1,,,17,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,1,,,0,0
130099,1/17/13,,1,,,25,1,,,,,,16,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,3,1,2,,1,,,1,1
130092,1/16/13,,1,,,10,1,,,,,,16,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,3,3,0,,,1,,1,0
130098,1/17/13,1,,,,10,1,,,,,,16,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,0
130097,1/17/13,1,,,,10,,,,,1,,19,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,1,2,1,1,,1,,,0,0
130096,1/16/13,,,1,,15,1,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,4,,1,,,,,,1,,,,,,,,,,1,1,1,0,,,1,,0,0
130095,1/16/13,,1,,,20,1,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,1,4,3,1,,1,,,1,1
130094,1/16/13,,1,,,20,1,,,,,,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,1,,,,,1,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130093,1/16/13,,1,,,10,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0
130090,1/16/13,1,,,,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0
130089,1/16/13,1,,,,15,1,,,,,,15,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,0,0
